id,user_id,subscription_product_id,attempted_date,attempt_count,status,response,next_attempt_date,payment_method_id,is_reactivate,remarks
726606,50269,33,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,106394,NULL,NULL
726882,46832,26,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,106362,NULL,NULL
726792,49944,26,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,105608,NULL,NULL
726839,49789,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-05,105200,NULL,NULL
726913,46051,26,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,94756,NULL,NULL
726975,46001,33,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,94658,NULL,NULL
726919,46048,26,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,94752,NULL,NULL
726942,46025,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,94709,NULL,NULL
726947,46022,33,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,94703,NULL,NULL
726950,46017,33,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,94695,NULL,NULL
726954,46014,33,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,94686,NULL,NULL
727026,45961,33,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,132683,NULL,NULL
727064,45752,11,2020-02-05,2,0,Subscription payment fail - transaction declined by authorization system,2020-03-03,94023,NULL,NULL
727327,41486,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,83092,NULL,NULL
727334,41476,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,92778,NULL,NULL
727349,41462,33,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,83044,NULL,NULL
727378,41437,33,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,83001,NULL,NULL
727420,41233,11,2020-02-05,2,0,Subscription payment fail - transaction declined by authorization system,2020-03-03,105826,NULL,NULL
727553,38017,33,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,74164,NULL,NULL
727581,37990,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,74121,NULL,NULL
727607,37938,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,123922,NULL,NULL
727613,37932,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,74036,NULL,NULL
727625,37923,33,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,74024,NULL,NULL
727629,37919,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,74011,NULL,NULL
727634,37914,33,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,73996,NULL,NULL
727784,35210,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,106410,NULL,NULL
727786,35047,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,82078,NULL,NULL
727869,33517,11,2020-02-05,2,0,Subscription payment fail - transaction declined by authorization system,2020-03-03,63937,NULL,NULL
727983,29671,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,45373,NULL,NULL
728000,29635,33,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,45315,NULL,NULL
728095,27361,11,2020-02-05,2,0,Subscription payment fail - transaction declined by authorization system,2020-03-03,32861,NULL,NULL
728163,24373,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,27807,NULL,NULL
728182,24273,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,28891,NULL,NULL
728280,20397,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,10538,NULL,NULL
728308,20093,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,10191,NULL,NULL
728369,19307,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,9337,NULL,NULL
728399,17867,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,136179,NULL,NULL
728403,17445,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,128468,NULL,NULL
728414,16189,11,2020-02-05,2,0,Subscription payment fail - transaction declined by authorization system,2020-03-03,117245,NULL,NULL
728529,8165,12,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,61627,NULL,NULL
728577,5054,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,9722,NULL,NULL
728592,4114,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,1876,NULL,NULL
728617,1473,11,2020-02-05,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-07,123118,NULL,NULL
728767,58230,11,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,128711,NULL,NULL
728769,58229,33,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,128710,NULL,NULL
728783,58222,11,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,128659,NULL,NULL
728898,55381,11,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,118332,NULL,NULL
728914,55370,11,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,118307,NULL,NULL
728920,55366,33,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,118300,NULL,NULL
728941,55356,11,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,118280,NULL,NULL
729158,50492,26,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,106902,NULL,NULL
729167,50487,11,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,106884,NULL,NULL
729263,50408,33,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,106744,NULL,NULL
729265,50407,26,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,106742,NULL,NULL
729282,50393,11,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,106707,NULL,NULL
729290,50386,11,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,106690,NULL,NULL
729315,50356,33,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,106618,NULL,NULL
729467,49988,11,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,105685,NULL,NULL
729593,46114,11,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,94984,NULL,NULL
729709,45847,11,2020-02-06,2,0,Subscription payment fail - transaction declined by authorization system,2020-03-04,94262,NULL,NULL
729762,45453,11,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,93266,NULL,NULL
729768,45353,11,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,93037,NULL,NULL
729807,42362,11,2020-02-06,2,0,Subscription payment fail - transaction declined by authorization system,2020-03-04,85254,NULL,NULL
729865,41736,11,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,83655,NULL,NULL
729894,41710,33,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,83586,NULL,NULL
729911,41665,11,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,83499,NULL,NULL
730167,38144,33,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,74417,NULL,NULL
730237,38063,33,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,74283,NULL,NULL
730246,38055,33,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,74265,NULL,NULL
730264,38036,11,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,74234,NULL,NULL
730272,38025,33,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,74213,NULL,NULL
730274,38024,33,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,74211,NULL,NULL
730358,37768,11,2020-02-06,2,0,Subscription payment fail - transaction declined by authorization system,2020-03-04,73656,NULL,NULL
730374,37466,11,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,72928,NULL,NULL
730455,33824,11,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,64634,NULL,NULL
730459,33819,33,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,64619,NULL,NULL
730546,32556,11,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,62172,NULL,NULL
730559,31913,11,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,61013,NULL,NULL
730567,31681,11,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,56809,NULL,NULL
730578,30003,26,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,46495,NULL,NULL
730586,29845,33,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,45944,NULL,NULL
730705,24621,11,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,61939,NULL,NULL
730709,24618,11,2020-02-06,2,0,Subscription payment fail - transaction declined by authorization system,2020-03-04,28330,NULL,NULL
730721,24603,26,2020-02-06,1,0,Subscription payment fail - transaction declined by authorization system,2020-02-08,28288,NULL,NULL
